ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
ABW,Aruba,Aruba,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003763
ACA,Access. COS. GRP I,Accession countries - Group I,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003764
ACB,Access. COS. GRP II,Accession countries - Group II,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003765
AFG,Afghanistan,Afghanistan,EM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003766
AGO,Angola,Angola,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003767
AIA,Anguilla,Anguilla,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003768
ALB,Albania,Albania,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003769
AND,Andorra,Andorra,EU,NULL,1977-09-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376A
ANT,Netherlands Antilles,Netherlands Antilles,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376B
ARE,United Arab Emirates,United Arab Emirates,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376C
ARG,Argentina,Argentina,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376D
ARM,Armenia,Armenia,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376E
ASC,Ascension Is.,Ascension Island,AF,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000376F
ASM,American Samoa,American Samoa,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038AA
ATG,Antigua Barbuda,Antigua and Barbuda,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003771
AUS,Australia,Australia,WP,OECD,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A7
AUT,Austria,Austria,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003773
AZE,Azerbaijan,Azerbaijan,EU,NULL,1992-10-02 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003774
BDI,Burundi,Burundi,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003775
BEL,Belgium,Belgium,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003776
BEN,Benin,Benin,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003777
BFA,Burkina Faso,Burkina Faso,AF,NULL,1984-09-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003778
BGD,Bangladesh,Bangladesh,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003779
BGR,Bulgaria,Bulgaria,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377A
BHR,Bahrain,Bahrain,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377B
BHS,Bahamas,Bahamas,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377C
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,EU,NULL,1992-09-10 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377D
BLR,Belarus,Belarus,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377E
BLZ,Belize,Belize,AM,NULL,1990-08-23 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000377F
BMU,Bermuda,Bermuda,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003780
BNR,Bonaire,Bonaire,AM,NULL,1989-07-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003781
BOL,Bolivia,Bolivia,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003782
BRA,Brazil,Brazil,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003783
BRB,Barbados,Barbados,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003784
BRN,Brunei,Brunei Darussalam,WP,OTHERS,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C0
BTN,Bhutan,Bhutan,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003786
BUR,Burma,Burma,SE,NULL,1989-07-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003787
BWA,Botswana,Botswana,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003788
BYE,Belarus,Belarus,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003789
CAF,Central African Rep.,Central African Republic,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378A
CAI,Canary Islands,Canary Islands,EU,NULL,2002-10-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378B
CAN,Canada,Canada,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378C
CAR,Caribbean,Caribbean,AM,NULL,1986-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378D
CAU,Caucausus countries,Caucausus countries,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378E
CEE,CEE Countires,Central and eastern European countries,EU,NULL,1994-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000378F
CHE,Switzerland,Switzerland,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003790
CHL,Chile,Chile,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003791
CHN,China,China,WP,OTHERS,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C1
CIV,Cote D'Ivoire,C"te d'Ivoire,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003793
CMR,Cameroon,Cameroon,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003794
CNR,Central Asian Reps.,Central Asian Republics,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003795
